benign,level,measure,auc
benign,turn0,refusal_proj,0.31272727272727274
benign,turn0,harm_proj,0.9609090909090909
benign,turn0,gap,0.88
benign,turn0,n_tokens,0.4495454545454545
benign,turn0,h_norm,0.6709090909090909
benign,turn0,nll,0.43454545454545457
benign,turn1,refusal_proj,0.5627272727272727
benign,turn1,harm_proj,0.9854545454545455
benign,turn1,gap,0.9127272727272727
benign,turn1,n_tokens,0.33
benign,turn1,h_norm,0.64
benign,turn1,nll,0.6454545454545455
benign,turn2,refusal_proj,0.3804347826086957
benign,turn2,harm_proj,0.9206521739130434
benign,turn2,gap,0.8891304347826087
benign,turn2,n_tokens,0.3358695652173913
benign,turn2,h_norm,0.5543478260869565
benign,turn2,nll,0.5804347826086956
benign,turn3,refusal_proj,0.2875
benign,turn3,harm_proj,0.89875
benign,turn3,gap,0.86125
benign,turn3,n_tokens,0.346875
benign,turn3,h_norm,0.54125
benign,turn3,nll,0.485
benign,turn4,refusal_proj,
benign,turn4,harm_proj,
benign,turn4,gap,
benign,turn4,n_tokens,
benign,turn4,h_norm,
benign,turn4,nll,
benign,conversation,refusal_proj,0.3409090909090909
benign,conversation,harm_proj,0.9745454545454545
benign,conversation,gap,0.9081818181818182
benign,conversation,n_tokens,0.48363636363636364
benign,conversation,h_norm,0.5527272727272727
benign,conversation,nll,0.4954545454545455
benign_real,turn0,refusal_proj,0.39181818181818184
benign_real,turn0,harm_proj,0.774090909090909
benign_real,turn0,gap,0.7413636363636363
benign_real,turn0,n_tokens,0.2775
benign_real,turn0,h_norm,0.5840909090909091
benign_real,turn0,nll,0.7854545454545454
benign_real,turn1,refusal_proj,0.4459090909090909
benign_real,turn1,harm_proj,0.8472727272727273
benign_real,turn1,gap,0.8477272727272728
benign_real,turn1,n_tokens,0.2340909090909091
benign_real,turn1,h_norm,0.28
benign_real,turn1,nll,0.735
benign_real,turn2,refusal_proj,0.2980364656381487
benign_real,turn2,harm_proj,0.8856942496493688
benign_real,turn2,gap,0.8920056100981767
benign_real,turn2,n_tokens,0.27279102384291726
benign_real,turn2,h_norm,0.37798036465638146
benign_real,turn2,nll,0.7671809256661991
benign_real,turn3,refusal_proj,0.34078947368421053
benign_real,turn3,harm_proj,0.9486842105263158
benign_real,turn3,gap,0.8960526315789473
benign_real,turn3,n_tokens,0.33881578947368424
benign_real,turn3,h_norm,0.5039473684210526
benign_real,turn3,nll,0.8092105263157895
benign_real,turn4,refusal_proj,0.28225806451612906
benign_real,turn4,harm_proj,0.9354838709677419
benign_real,turn4,gap,0.8951612903225806
benign_real,turn4,n_tokens,0.3790322580645161
benign_real,turn4,h_norm,0.5887096774193549
benign_real,turn4,nll,0.7903225806451613
benign_real,turn5,refusal_proj,0.30952380952380953
benign_real,turn5,harm_proj,0.875
benign_real,turn5,gap,0.8571428571428571
benign_real,turn5,n_tokens,0.30952380952380953
benign_real,turn5,h_norm,0.5892857142857143
benign_real,turn5,nll,0.7559523809523809
benign_real,conversation,refusal_proj,0.33090909090909093
benign_real,conversation,harm_proj,0.8913636363636364
benign_real,conversation,gap,0.8663636363636363
benign_real,conversation,n_tokens,0.43454545454545457
benign_real,conversation,h_norm,0.3968181818181818
benign_real,conversation,nll,0.7204545454545455
benign_matched,turn0,refusal_proj,0.24734133790737564
benign_matched,turn0,harm_proj,0.5855917667238422
benign_matched,turn0,gap,0.7588336192109777
benign_matched,turn0,n_tokens,0.45008576329331046
benign_matched,turn0,h_norm,0.5169811320754717
benign_matched,turn0,nll,0.6065180102915952
benign_matched,turn1,refusal_proj,0.43499142367066895
benign_matched,turn1,harm_proj,0.6222984562607204
benign_matched,turn1,gap,0.6634648370497427
benign_matched,turn1,n_tokens,0.44957118353344766
benign_matched,turn1,h_norm,0.6672384219554031
benign_matched,turn1,nll,0.5780445969125214
benign_matched,turn2,refusal_proj,0.36248736097067746
benign_matched,turn2,harm_proj,0.8447927199191102
benign_matched,turn2,gap,0.80788675429727
benign_matched,turn2,n_tokens,0.46461071789686553
benign_matched,turn2,h_norm,0.6759352881698686
benign_matched,turn2,nll,0.6056622851365016
benign_matched,turn3,refusal_proj,0.4105263157894737
benign_matched,turn3,harm_proj,0.8414473684210526
benign_matched,turn3,gap,0.7460526315789474
benign_matched,turn3,n_tokens,0.4394736842105263
benign_matched,turn3,h_norm,0.6822368421052631
benign_matched,turn3,nll,0.6296052631578948
benign_matched,turn4,refusal_proj,0.43381535038932145
benign_matched,turn4,harm_proj,0.8687430478309233
benign_matched,turn4,gap,0.7997775305895439
benign_matched,turn4,n_tokens,0.492769744160178
benign_matched,turn4,h_norm,0.6952169076751946
benign_matched,turn4,nll,0.6040044493882091
benign_matched,turn5,refusal_proj,0.42613636363636365
benign_matched,turn5,harm_proj,0.7575757575757576
benign_matched,turn5,gap,0.7196969696969697
benign_matched,turn5,n_tokens,0.4706439393939394
benign_matched,turn5,h_norm,0.6003787878787878
benign_matched,turn5,nll,0.5984848484848485
benign_matched,conversation,refusal_proj,0.3320754716981132
benign_matched,conversation,harm_proj,0.823327615780446
benign_matched,conversation,gap,0.820926243567753
benign_matched,conversation,n_tokens,0.49193825042881645
benign_matched,conversation,h_norm,0.6634648370497427
benign_matched,conversation,nll,0.6113207547169811
